HIGH,LOW,OPEN,CLOSE,DATE_TIME
-1.206349786,-1.204324461,-1.207405404,-1.204992568,2000.01.03 00:00:00
-1.202132302,-1.202516561,-1.204392596,-1.199569501,2000.01.03 00:15:00
-1.200927307,-1.200708661,-1.198969541,-1.203787442,2000.01.03 00:30:00
-1.175019906,-1.201311295,-1.204392596,-1.174261854,2000.01.03 00:45:00
-1.174417409,-1.176000697,-1.173661952,-1.177877232,2000.01.03 01:00:00
-1.17923739,-1.176000697,-1.177277322,-1.176672106,2000.01.03 01:15:00
-1.172007418,-1.170576997,-1.171854267,-1.171249039,2000.01.03 01:30:00
-1.169597427,-1.168166464,-1.170046582,-1.168838787,2000.01.03 01:45:00
-1.167187436,-1.167563831,-1.167033774,-1.168236224,2000.01.03 02:00:00
-1.168994929,-1.166961197,-1.170046582,-1.166428535,2000.01.03 02:15:00
-1.165982441,-1.165755931,-1.16582865,-1.164018283,2000.01.03 02:30:00
-1.150317501,-1.162742764,-1.16582865,-1.148351644,2000.01.03 02:45:00
-1.140075041,-1.145869032,-1.148956924,-1.139915762,2000.01.03 03:00:00
-1.140677538,-1.142253232,-1.138110815,-1.142928577,2000.01.03 03:15:00
-1.144292524,-1.144061132,-1.142931308,-1.142928577,2000.01.03 03:30:00
-1.146100017,-1.144061132,-1.143533869,-1.145941392,2000.01.03 03:45:00
-1.14790751,-1.149484832,-1.147149239,-1.148351644,2000.01.03 04:00:00
-1.151522497,-1.148882199,-1.150764609,-1.148954207,2000.01.03 04:15:00
-1.151522497,-1.148279565,-1.151367171,-1.150159333,2000.01.03 04:30:00
-1.151522497,-1.148279565,-1.150764609,-1.150761896,2000.01.03 04:45:00
-1.151522497,-1.148882199,-1.148354363,-1.151967022,2000.01.03 05:00:00
-1.151522497,-1.149484832,-1.148354363,-1.150761896,2000.01.03 05:15:00
-1.15332999,-1.148882199,-1.150162048,-1.150761896,2000.01.03 05:30:00
-1.150919999,-1.148279565,-1.151367171,-1.14955677,2000.01.03 05:45:00
-1.146100017,-1.147676932,-1.148354363,-1.144133703,2000.01.03 06:00:00
-1.14549752,-1.142855866,-1.142328746,-1.145941392,2000.01.03 06:15:00
-1.146702515,-1.144663766,-1.144738993,-1.147749081,2000.01.03 06:30:00
-1.14790751,-1.145869032,-1.147149239,-1.148954207,2000.01.03 06:45:00
-1.149715004,-1.153100632,-1.146546678,-1.153172148,2000.01.03 07:00:00
-1.153932487,-1.151895365,-1.153174856,-1.151967022,2000.01.03 07:15:00
-1.152124994,-1.151895365,-1.151367171,-1.150159333,2000.01.03 07:30:00
-1.153932487,-1.155511165,-1.150764609,-1.156787526,2000.01.03 07:45:00
-1.153932487,-1.157319065,-1.158597911,-1.154979837,2000.01.03 08:00:00
-1.157547473,-1.165153297,-1.154379979,-1.165825972,2000.01.03 08:15:00
-1.162969953,-1.164550664,-1.166431212,-1.159800342,2000.01.03 08:30:00
-1.162969953,-1.167563831,-1.161008157,-1.166428535,2000.01.03 08:45:00
-1.168994929,-1.177808596,-1.16582865,-1.179684921,2000.01.03 09:00:00
-1.177429897,-1.192271795,-1.179085006,-1.185710551,2000.01.03 09:15:00
-1.17923739,-1.185040196,-1.188123431,-1.177877232,2000.01.03 09:30:00
-1.177429897,-1.181424396,-1.177277322,-1.182095173,2000.01.03 09:45:00
-1.176827399,-1.180821763,-1.181495253,-1.182095173,2000.01.03 10:00:00
-1.181647381,-1.184437563,-1.180892691,-1.179082358,2000.01.03 10:15:00
-1.181044883,-1.182629663,-1.177879883,-1.183300299,2000.01.03 10:30:00
-1.181647381,-1.182027029,-1.182700376,-1.18149261,2000.01.03 10:45:00
-1.178634892,-1.180821763,-1.181495253,-1.177274669,2000.01.03 11:00:00
-1.180442385,-1.182629663,-1.177277322,-1.18149261,2000.01.03 11:15:00
-1.179839888,-1.179616496,-1.179687568,-1.179082358,2000.01.03 11:30:00
-1.181044883,-1.18021913,-1.179687568,-1.182095173,2000.01.03 11:45:00
-1.183454874,-1.184437563,-1.18029013,-1.185710551,2000.01.03 12:00:00
-1.185864865,-1.185642829,-1.185713185,-1.186313114,2000.01.03 12:15:00
-1.188877353,-1.192874429,-1.186918308,-1.194146434,2000.01.03 12:30:00
-1.194299832,-1.200708661,-1.193546486,-1.200172064,2000.01.03 12:45:00
-1.200927307,-1.198900761,-1.200777226,-1.198364375,2000.01.03 13:00:00
-1.200324809,-1.198298128,-1.198969541,-1.197761812,2000.01.03 13:15:00
-1.199722311,-1.200106028,-1.198366979,-1.198966938,2000.01.03 13:30:00
-1.198517316,-1.198900761,-1.199572102,-1.199569501,2000.01.03 13:45:00
-1.19731232,-1.198298128,-1.198969541,-1.197159249,2000.01.03 14:00:00
-1.196709823,-1.195887595,-1.197161856,-1.194146434,2000.01.03 14:15:00
-1.192492339,-1.194682328,-1.195354171,-1.195954123,2000.01.03 14:30:00
-1.197914818,-1.199503395,-1.196559294,-1.197761812,2000.01.03 14:45:00
-1.198517316,-1.206734994,-1.199572102,-1.208005383,2000.01.03 15:00:00
-1.206952283,-1.212158694,-1.207405404,-1.212223324,2000.01.03 15:15:00
-1.211772265,-1.215774494,-1.211623335,-1.211018198,2000.01.03 15:30:00
-1.209362274,-1.209748161,-1.211020774,-1.20740282,2000.01.03 15:45:00
-1.203337297,-1.206132361,-1.204995157,-1.204390005,2000.01.03 16:00:00
-1.203337297,-1.204324461,-1.202584911,-1.206197694,2000.01.03 16:15:00
-1.195504827,-1.204927094,-1.206802842,-1.194748997,2000.01.03 16:30:00
-1.156944976,-1.191066529,-1.194149048,-1.159197779,2000.01.03 16:45:00
-1.153932487,-1.159729598,-1.158597911,-1.152569585,2000.01.03 17:00:00
-1.148510008,-1.159729598,-1.153174856,-1.162813157,2000.01.03 17:15:00
-1.156944976,-1.159729598,-1.162815842,-1.160402905,2000.01.03 17:30:00
-1.160559962,-1.160332231,-1.161610719,-1.157390089,2000.01.03 17:45:00
